cislo,název,voliči,obálky,platné hlasy celkem,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,-
519146,Tovačov,2 047,1 232,1 228,145,2,0,118,2,31,98,11,1,28,1,1,76,0,17,421,1,2,116,0,2,5,3,139,8,-
519651,Troubky,1 659,1 112,1 098,48,4,2,66,0,114,72,3,5,12,1,2,59,0,22,438,1,1,122,0,10,2,2,107,5,-
520047,Tučín,351,267,266,17,0,0,15,0,30,14,2,4,4,0,1,18,0,4,93,0,0,22,0,5,0,1,35,1,-
552836,Turovice,194,92,88,3,0,0,7,0,6,10,2,0,1,0,0,4,0,0,20,0,0,16,0,2,0,0,17,0,-
570079,Týn nad Bečvou,699,430,426,34,0,0,31,0,20,43,6,0,10,1,2,20,0,5,154,2,0,42,0,1,0,0,52,3,-
552879,Uhřičice,458,269,267,18,0,0,18,0,8,32,1,4,1,0,0,19,0,3,88,0,1,22,0,0,1,0,50,1,-
520306,Ústí,441,287,284,11,0,0,19,0,19,19,0,1,9,0,0,16,0,8,77,0,0,75,2,0,1,2,24,1,-
520420,Veselíčko,727,417,417,26,15,1,23,1,11,46,1,3,5,0,0,36,0,32,127,0,1,36,0,7,0,0,46,0,-
552755,Věžky,188,135,135,6,0,0,5,0,2,18,0,2,4,4,0,5,0,0,45,0,0,18,1,2,0,1,20,2,-
547433,Vlkoš,577,441,436,29,1,1,17,0,17,33,2,3,4,1,1,31,0,7,153,0,0,75,0,0,0,0,58,3,-
521531,Všechovice,730,471,469,41,0,1,34,0,17,51,5,5,2,0,1,29,4,0,131,1,0,72,0,3,0,0,72,0,-
547450,Výkleky,225,144,144,4,1,0,14,0,8,12,1,2,0,0,0,13,0,2,48,1,0,18,0,0,0,0,20,0,-
